# kushinagar001 (Up to date)
# 504 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,83.5,0,0,0,0,0,0,0,0,0,0,26.74,83.887,90,0,0,0,90,0,1.101e4,2935.3,2.617,0.09,9.791,NaN,115.771,NaN,0,0,0,0.419,0.273,0.026,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,90,14.457,1003.457,0.001,340.06,0.005,2.096e5,21.6,366.435,0.01,0.004,0
0.01,0,83.5,0,0,0,0,0,0,0,0,0,0,26.74,83.887,90,0,0,0,90,0,1.101e4,2933.932,2.616,0.09,9.791,NaN,115.766,NaN,65.106,0.604,0,0.419,0.273,0.026,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,90,14.457,1003.457,0.001,340.06,0.005,2.096e5,21.6,366.435,0.01,0.005,0
0.02,0,83.5,0.003,0.003,2.039,2.039,0,0,0,0,4.898e-5,0.029,26.74,83.887,89.892,0,0,0,90,0,1.101e4,2932.564,2.616,0.09,9.791,NaN,115.761,NaN,130.212,1.208,0,0.419,0.273,0.026,0.12,7e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,90,14.457,1003.457,0.001,340.06,0.005,2.095e5,21.6,366.435,0.01,0.005,4.427e-7
0.03,2.346e-4,83.5,0.053,0.053,7.956,7.956,-1.959e-6,0,1.959e-6,270,3.429e-4,0.029,26.74,83.887,88.308,0,0,0,90,0,1.101e4,2931.196,2.616,0.09,9.791,NaN,115.756,NaN,195.318,1.813,1.94e-6,0.419,0.273,0.026,0.12,2.666e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,90,14.457,1003.457,0.001,340.06,0.005,2.096e5,21.6,366.435,0.01,0.006,6.952e-6
0.04,0.001,83.501,0.163,0.163,13.875,13.875,-6.859e-6,0,6.859e-6,270,6.375e-4,0.03,26.74,83.887,84.858,0,0,0,90,0,1.1e4,2929.829,2.616,0.09,9.791,NaN,115.75,NaN,260.424,2.417,5.278e-5,0.419,0.272,0.026,0.12,7.206e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,90,14.457,1003.457,0.001,340.06,0.005,2.103e5,21.6,366.435,0.01,0.006,2.117e-5
0.05,0.004,83.504,0.331,0.331,19.795,19.795,-1.472e-5,0,1.472e-5,270,9.356e-4,0.03,26.74,83.887,79.617,0,0,0,90,0,1.1e4,2928.461,2.615,0.09,9.791,NaN,115.745,NaN,325.53,3.022,4.193e-4,0.418,0.272,0.026,0.12,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,90,14.457,1003.456,0.001,340.06,0.005,2.129e5,21.6,366.435,0.01,0.007,4.31e-5
0.06,0.008,83.508,0.558,0.558,25.716,25.716,-2.559e-5,0,2.559e-5,270,0.001,0.031,26.74,83.887,72.666,0,0,0,90,0,1.1e4,2927.093,2.615,0.09,9.791,NaN,115.74,NaN,390.636,3.627,0.002,0.417,0.27,0.026,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.79,90,14.457,1003.456,0.001,340.06,0.006,2.173e5,21.6,366.435,0.01,0.008,7.273e-5
0.07,0.015,83.515,0.845,0.845,31.639,31.639,-3.958e-5,0,3.958e-5,270,0.002,0.033,26.74,83.887,64.506,0,0,0,90,0,1.1e4,2925.725,2.615,0.09,9.791,NaN,115.735,NaN,455.743,4.232,0.006,0.414,0.267,0.026,0.12,0.068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.774,90,14.457,1003.455,0.001,340.06,0.006,2.277e5,21.6,366.435,0.009,0.008,1.101e-4
# Event LIFTOFF occurred at t=0.079 seconds
0.079,0.024,83.524,1.154,1.154,36.97,36.97,-5.502e-5,0,5.502e-5,270,0.002,0,26.74,83.887,56.711,0,0,0,90,0,1.1e4,2924.494,2.615,0.09,9.791,NaN,115.73,NaN,514.338,4.776,0.013,0.41,0.263,0.026,0.12,0.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.759,90,14.457,1003.454,0.001,340.06,0.006,2.438e5,21.6,366.435,0.01,0.009,1.503e-4
0.089,0.037,83.537,1.526,1.526,37.433,37.433,-7.378e-5,0,7.378e-5,270,0.002,0,26.74,83.887,48.767,0,0,0,90,0,1.1e4,2921.546,2.614,0.09,9.791,NaN,115.719,NaN,519.302,4.824,0.026,0.404,0.257,0.026,0.12,0.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.743,90,14.457,1003.452,0.001,340.06,0.007,2.684e5,21.6,366.435,0.01,0.01,1.987e-4
0.099,0.055,83.555,1.903,1.903,37.896,37.896,-9.253e-5,0,9.253e-5,270,0.002,0,26.74,83.887,42.192,0,0,0,90,0,1.099e4,2918.597,2.613,0.09,9.791,NaN,115.708,NaN,524.267,4.871,0.043,0.398,0.251,0.026,0.12,0.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.727,90,14.457,1003.45,0.001,340.06,0.008,2.977e5,21.6,366.435,0.01,0.01,2.478e-4
0.109,0.075,83.575,2.284,2.284,38.358,38.358,-1.113e-4,0,1.113e-4,270,0.002,0,26.74,83.887,37.352,0,0,0,90,0,1.099e4,2915.649,2.613,0.09,9.791,NaN,115.696,NaN,529.231,4.918,0.064,0.392,0.245,0.026,0.12,0.351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.745,90,14.457,1003.448,0.001,340.06,0.008,3.331e5,21.6,366.435,0.01,0.011,2.975e-4
